6,100nf,DIP-CERAMIC-DISC-100NF-50V-Y5V(D5.0MM),CERAMIC-2.54,"C1, C2, C3, C13, C14, C15",302010208,CC1-F5SL2A101KSPW,100nf
9,100uf,DIP-ALUMINUM-100UF-16V(D5-H7MM),PC-D5.3MM,"C4, C5, C6, C7, C8, C9, C10, C11, C12",302030031,KS 100uF/16V,100uf
3,2.2K,DIP-RES-2.2K-5%-1/4W(PR-D2.3XL6.5MM),PR-D2.3XL6.5MM,"R1, R3, R4",301020010,FHCFR-1/4W-222J,2.2K
1,680R,DIP-RES-680R-5%-1/4W(PR-D2.3XL6.5MM),PR-D2.3XL6.5MM,R2,301020007,FHCFR-1/4W-681J,680R
4,CX-G302DC,DIP-LED-GREEN-GREEN(2P-D3MM),LED2-2.54-D3.0MM,"D1, D2, D3, D4",304090040,CX-G302DC,CX-G302DC
14,ER2-SHROUD,ER2-SHROUD,ER2-SHROUD,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14",302-S161,302-S161,302-S161
4,GREEN-2P-5.0,SCREW-TERMINAL-GREEN(2P-5.0),H2-5.0-10.5X8.0MM,"P1, P2, P3, P4",320110031,1935161,GREEN-2P-5.0
